dataset_index,source_row,canonical_smiles,drug_id,cell_id,ln_ic50
37046,250302,CC/C(=C(\c1ccc(O)cc1)c1ccc(OCCN(C)C)cc1)c1ccccc1,Tamoxifen,IST-SL2,3.655356
25819,125470,CC1(C)CC(=O)c2c(C(F)(F)F)nn(-c3ccc(C(N)=O)c(N[C@H]4CC[C@H](O)CC4)c3)c2C1,SNX-2112,MFE-319,0.752053
16946,452048,CC1(C)CCC(CN2CCN(c3ccc(C(=O)NS(=O)(=O)c4ccc(NCC5CCOCC5)c([N+](=O)[O-])c4)c(Oc4cnc5[nH]ccc5c4)c3)CC2)=C(c2ccc(Cl)cc2)C1,Venetoclax,LAN-6,-0.107531
14210,183115,CC1(C)CCC(c2ccc(Cl)cc2)=C(CN2CCN(c3ccc(C(=O)NS(=O)(=O)c4ccc(N[C@H](CCN5CCOCC5)CSc5ccccc5)c(S(=O)(=O)C(F)(F)F)c4)cc3)CC2)C1,Navitoclax,MOG-G-UVW,1.933123
8164,198811,CC1(C)CNc2cc(NC(=O)c3cccnc3NCc3ccncc3)ccc21,Motesanib,RT-112,0.211836
34711,70032,CC1=C(C(=O)Nc2cc3cn[nH]c3cc2F)C(c2ccc(C(F)(F)F)cc2)CC(=O)N1,GSK429286A,Mewo,6.088101
31407,2498,CC1=C2C[C@H]3[C@@H](CC=C4C[C@@H](O)CC[C@@]43C)[C@@H]2CC[C@]12O[C@@H]1C[C@H](C)CN[C@H]1[C@H]2C,Cyclopamine,L-540,4.258145
32664,502443,CC1CC(=O)Nc2cccc(-c3ccc4c(c3)c(-c3cnn(C)c3)nn4C)c2N1,CPI-637,MN-60,3.784313
39147,241270,CC1CN(CC(=O)Nc2ccc3c(c2)Cc2cccc(-c4cc(=O)cc(N5CCOCC5)o4)c2S3)CC(C)O1,KU-60019,647-V,2.880392
7493,289312,CC1COCCN1c1cc(C2(S(C)(=N)=O)CC2)nc(-c2cncc3[nH]ccc23)n1,AZD6738,LN-229,0.808101
41183,43006,CC=C(C)C(=O)O[C@H]1C(C)=C2[C@H]([C@@H]1OC(=O)CCCCCCC)[C@@](C)(OC(C)=O)C[C@H](OC(=O)CCC)[C@@]1(O)[C@H]2OC(=O)[C@@]1(C)O,Thapsigargin,VMRC-RCW,-4.915587
12606,426526,CC=C1NC(=O)[C@H]2CSSCCC=C[C@H](CC(=O)N[C@H](C(C)C)C(=O)N2)OC(=O)[C@H](C(C)C)NC1=O,Romidepsin,MHH-PREB-1,-5.396651
30835,463027,CCC(=C(c1ccc(C=CC(=O)O)cc1)c1ccc2[nH]ncc2c1)c1ccc(F)cc1Cl,GDC0810,COLO-680N,5.949222
8575,331087,CCC(=O)N1CCOc2c(cc(-c3ccc(OC)c(OC)c3)cc2OC[C@H]2CCCN(C)C2)C1,I-CBP112,KNS-62,5.386394
7046,382521,CCC(=O)Nc1cccc(Oc2nc(Nc3ccc(N4CCN(C)CC4)cc3OC)ncc2Cl)c1,WZ4003,SK-MEL-31,5.713852
25518,468369,CCC(=O)OCN1C(=O)C=CC1=O,MIRA-1,OSC-19,4.264692
10615,175148,CCC(C)CNCC(=O)N1CCc2sccc2C1COc1cccc(C)c1,RU-SKI 43,PCI-15A,5.088557
18325,14714,CCC(CO)Nc1nc(NCc2ccccc2)c2ncn(C(C)C)c2n1,Seliciclib,JiyoyeP-2003,2.295208
33962,19972,CCC1=C[C@@H]2C[N@](C1)Cc1c([nH]c3ccccc13)[C@@](C(=O)OC)(c1cc3c(cc1OC)N(C)[C@H]1[C@@](O)(C(=O)OC)[C@H](OC(C)=O)[C@@]4(CC)C=CCN5CC[C@]31[C@@H]54)C2,Vinorelbine,MDA-MB-453,-2.772108
8448,51630,CCCC=CC=CC(=O)OC1C(=CC(=O)OC)CC2CC(C(C)O)OC(=O)CC(O)CC3CC(OC(C)=O)C(C)(C)C(O)(CC4CC(=CC(=O)OC)CC(C=CC(C)(C)C1(O)O2)O4)O3,Bryostatin 1,HCC-44,-4.524449
28642,6121,CCCCC(C=O)NC(=O)C(CC(C)C)NC(=O)C(CC(C)C)NC(=O)OCc1ccccc1,Z-LLNle-CHO,NCI-H748,0.540005
9274,36857,CCCCCCCCCCCC1C(=O)C(=O)CC(=O)C1=O,Embelin,NB13,2.671637
7867,169855,CCCCCCCCc1ccc(CCC(N)(CO)CO)cc1.Cl,FTY-720,P32-ISH,1.871229
33633,373636,CCCOc1ccn2c(C(C)=O)cc(-c3ccccc3S(C)(=O)=O)c2c1,GSK2801,IST-MES1,5.60735
18411,203747,CCCS(=O)(=O)Nc1ccc(F)c(C(=O)c2c[nH]c3ncc(Cl)cc23)c1F,PLX-4720,ASH-3,4.774354
9318,391071,CCCc1cc(C)[nH]c(=O)c1CNC(=O)c1cc(-c2ccnc(N3CCN(C)CC3)c2)cc2c1cnn2C(C)C,GSK343,LB831-BLC,2.520748
19232,211319,CCN(CC)CCCCNc1ncc2cc(-c3cc(OC)cc(OC)c3)c(NC(=O)NC(C)(C)C)nc2n1,PD173074,SK-MEL-2,3.690598
36503,875,CCN(CC)CCNC(=O)c1c(C)[nH]c(C=C2C(=O)Nc3ccc(F)cc32)c1C,Sunitinib,GI-ME-N,4.97111
8181,107416,CCN1CCC(n2cc(CNc3cc(Cl)c4ncc(C#N)c(Nc5ccc(F)c(Cl)c5)c4c3)nn2)CC1,KIN001-266,CS1,2.506995
33532,29622,CCN1CCN(Cc2ccc(NC(=O)c3ccc(C)c(C=Cc4cnc5[nH]ccc5c4OC)c3)cc2C(F)(F)F)CC1,HG6-64-1,NCI-H520,-0.118367
13204,82679,CCN1CCN(Cc2ccc(NC(=O)c3ccc(C)c(Oc4ccnc5[nH]ccc45)c3)cc2C(F)(F)F)CC1,NG-25,OCUB-M,1.648169
7535,389019,CCNC(=O)C[C@@H]1N=C(c2ccc(Cl)cc2)c2cc(OC)ccc2-n2c(C)nnc21,I-BET-762,DND-41,2.063221
24261,146252,CCNC(=O)Nc1ncc(-c2cc(-c3c(C)cc(OC)cc3C)nc(-c3cnccn3)n2)s1,LIMK1 inhibitor BMS4,NCI-H2595,6.04095
16715,49430,CCNC(=O)c1noc(-c2cc(C(C)C)c(O)cc2O)c1-c1ccc(CN2CCOCC2)cc1,Luminespib,A2780,-5.017289
37250,7619,CCNc1cc(NC2CCC(O)CC2)nc(Nc2ccc3c(ccn3Cc3ccccc3)c2)n1,CGP-082996,HH,2.137691
8285,264210,CCOC(=O)CCNc1cc(N2CCc3ccccc3CC2)nc(-c2ccccn2)n1,GSK-J4,OE21,4.384688
23999,374708,CCOC(=O)Nc1cc(-c2ccc(C)c(NS(C)(=O)=O)c2)nn2c(C)nnc12,Bromosporine,AMO-1,0.40409
38173,236457,CCOc1cc(N2CCC(O)CC2)ccc1Nc1ncc2c(n1)N(C)c1ccccc1C(=O)N2C,XMD8-92,DOK,2.534858
7167,98545,CCOc1cc2ncc(C#N)c(Nc3ccc(F)c(Cl)c3)c2cc1NC(=O)C=CCN(C)C,Pelitinib,NCI-H2122,3.064696
6626,170727,CCOc1ccccc1NN=C1C(=O)N(c2nc(-c3ccccc3)cs2)N=C1C,BAM7,WM793B,4.546176
38973,207836,CCOc1nc(NC(=O)Cc2cc(OC)ccc2OC)cc(N)c1C#N,JNK Inhibitor VIII,COLO-679,5.091685
36528,343791,CC[C@@H]1C(=O)N(C)c2cnc(Nc3ccc(C(=O)NC4CCN(C)CC4)cc3OC)nc2N1C1CCCC1,BI-2536,A253,0.383966
38112,420259,CC[C@@]1(O)C(=O)OCc2c1cc1n(c2=O)Cc2cc3c(CN(C)C)c(O)ccc3nc2-1,Topotecan,BPH-1,-1.653514
18673,332005,CC[C@@]1(O)C(=O)OCc2c1cc1n(c2=O)Cc2cc3ccccc3nc2-1,Camptothecin,HOP-62,-2.561103
15284,73496,CC[C@H](Nc1ncnc2[nH]cnc12)c1nc2cccc(F)c2c(=O)n1-c1ccccc1,Idelalisib,DMS-53,5.799699
22606,176984,CC[C@]1(O)C[C@@H]2CN(CCc3c([nH]c4ccccc34)[C@@](C(=O)OC)(c3cc4c(cc3OC)N(C)[C@H]3[C@@](O)(C(=O)OC)[C@H](OC(C)=O)[C@]5(CC)C=CCN6CC[C@]43[C@@H]65)C2)C1,Vinblastine,PCI-15A,-1.60755
6063,322179,CCc1c2c(nc3ccc(O)cc13)-c1cc3c(c(=O)n1C2)COC(=O)[C@]3(O)CC,SN-38,451Lu,-3.567796
3527,344681,CCc1c2c(nc3ccc(OC(=O)N4CCC(N5CCCCC5)CC4)cc13)-c1cc3c(c(=O)n1C2)COC(=O)[C@]3(O)CC,Irinotecan,CAKI-1,2.301511
28852,237957,CCc1cc(-c2n[nH]c(C)c2-c2ccc3c(c2)OCCO3)c(O)cc1O,CCT-018159,MMAc-SF,3.66031
12833,54567,CCc1cc(Nc2nccc(-c3c(-c4ccc(OC)c(C(=O)Nc5c(F)cccc5F)c4)nc4ccccn34)n2)c(OC)cc1N1CCC(N2CCN(S(C)(=O)=O)CC2)CC1,GSK1904529A,TE-10,1.48995
37896,98243,CCc1cc2c(cc1N1CCC(N3CCOCC3)CC1)C(C)(C)c1[nH]c3cc(C#N)ccc3c1C2=O,Alectinib,NCI-H2731,2.388767
20630,229830,CCc1cncnc1N1CCN(Cc2nc3ccc(C(F)(F)F)cc3[nH]2)CC1,PF-4708671,HuO-3N1,4.381275
25751,351691,CCc1cnn2c(NCc3ccc[n+]([O-])c3)cc(N3CCCC[C@H]3CCO)nc12,Dinaciclib,BE2-M17,-1.061377
37956,63308,CCc1nc(-c2cccc(C)c2)c(-c2ccnc(NC(=O)c3ccccc3)c2)s1,TAK-715,OCI-AML5,2.52946
4839,10993,CCc1nc(N)nc(N)c1-c1ccc(Cl)cc1,Pyrimethamine,EJM,4.806413
22407,124749,CCn1c(-c2nonc2N)nc2c(C#CC(C)(C)O)ncc(OC[C@H]3CCCNC3)c21,GSK690693,FLO-1,4.018901
31190,245184,CCn1c(-c2nonc2N)nc2cnc(Oc3cccc(NC(=O)c4ccc(OCCN5CCOCC5)cc4)c3)cc21,GSK269962A,SK-MEL-3,4.285778
21103,141424,CCn1c(=O)c(-c2cc[nH]n2)cc2c(C)nc(N)nc21,Voxtalisib,NCCIT,4.015921
22232,466190,CCn1cc(-c2cccc(C(F)(F)F)c2)c2sc(C(=N)NC3CCS(=O)(=O)CC3)cc2c1=O,I-BRD9,CHL-1,4.451198
35381,67360,CCn1cc(-c2ccnc3[nH]c(-c4cccc(CN(C)C)c4)cc23)c(-c2ccc(NC(=O)N(C)C)cc2)n1,GSK1070916,NH-12,-0.994015
7579,311551,CCn1nc(C2CCN(C(=O)CCO)CC2)nc1-c1cnc(N)c(-c2nnc(C(C)(C)C)o2)n1,AZD8835,LCLC-103H,4.893324
38124,395259,CN(C)C(=O)c1cc2cnc(Nc3ccc(N4CCNCC4)cn3)nc2n1C1CCCC1,Ribociclib,TT2609-C02,5.023191
11846,282878,CN(C)CC=CC(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1O[C@H]1CCOC1,Afatinib,NCI-H2803,4.361058
32095,235765,CN(C)CC=CC(=O)Nc1ccc(C(=O)Nc2cccc(Nc3nccc(-c4cccnc4)n3)c2)cc1,ZG-10,SIMA,2.630321
14804,236708,CN(C)CC=CC(=O)Nc1cccc(C(=O)Nc2cccc(Nc3nccc(-c4cccnc4)n3)c2)c1,THZ-2-98-01,HuP-T3,5.222153
4668,131825,CN(C)CCCCC(=O)Nc1ccc(NC(=S)NC(=O)c2ccc(C(C)(C)C)cc2)cc1,Tenovin-6,NCI-H1944,2.102547
5281,219686,CN(C)CCOc1ccc(-c2nc(=c3ccc4c(c3)CCC=4N=O)c(=C3C=CNC=C3)[nH]2)cc1,SB590885,KU812,1.998201
39691,453080,CN(C)CC[C@H](CSc1ccccc1)Nc1ccc(S(=O)(=O)NC(=O)c2ccc(N3CCN(Cc4ccccc4-c4ccc(Cl)cc4)CC3)cc2)cc1[N+](=O)[O-],ABT737,RH-41,0.288872
10160,97128,CN(C)Cc1cccc(NC(=C2C(=O)Nc3cc(C(=O)N(C)C)ccc32)c2ccccc2)c1,BIX02189,SK-UT-1,5.058003
20551,425026,CN(C)N=Nc1[nH]cnc1C(N)=O,Dacarbazine,HLE,5.112492
38762,180472,CN(Cc1cnc2nc(N)nc(N)c2n1)c1ccc(C(=O)NC(CCC(=O)O)C(=O)O)cc1,Methotrexate,OE19,-0.300013
15439,200220,CN(NC(=O)CC(=O)NN(C)C(=S)c1ccccc1)C(=S)c1ccccc1,Elesclomol,ES7,-4.832601
2814,28786,CN(c1ncccc1CNc1nc(Nc2ccc3c(c2)CC(=O)N3)ncc1C(F)(F)F)S(C)(=O)=O,PF-562271,NCI-H1755,2.911597
27225,156214,CN1CCC(c2c(O)cc(O)c3c(=O)cc(-c4ccccc4Cl)oc23)C(O)C1,Flavopiridol,NCI-H1869,-0.814267
2824,5263,CN1CCN(CCOc2cc(OC3CCOCC3)c3c(Nc4c(Cl)ccc5c4OCO5)ncnc3c2)CC1,Saracatinib,KARPAS-45,1.457863
30879,89520,CN1CCN(c2ccc([N+](=O)[O-])c3no[n+]([O-])c23)CC1,NSC-207895,NCI-H187,2.325457
2220,87208,CN1CCc2c(c3ccccc3n2Cc2ccc(C(=O)NO)cc2)C1,Tubastatin A,NCI-H1573,5.645282
493,363964,CNC(=O)CN1CCC(Oc2cc3c(Nc4cccc(Cl)c4F)ncnc3cc2OC)CC1,Sapitinib,SW1271,6.007395
31052,123029,CNC(=O)Nc1ccc(-c2nc(N3CC4CCC(C3)O4)c3cnn(C4CCC5(CC4)OCCO5)c3n2)cc1,WYE-125132,SK-N-SH,3.922155
39232,342777,CNC(=O)c1cc(Oc2ccc(NC(=O)Nc3ccc(Cl)c(C(F)(F)F)c3)cc2)ccn1,Sorafenib,TE-1,3.609051
33731,233050,CNC(=O)c1ccc(Nc2cc(Nc3ccccc3S(=O)(=O)C(C)C)c3cc[nH]c3n2)nc1,HG-5-113-01,CADO-ES1,2.194833
35780,310191,CNC(=O)c1cccc(-c2ccc3c(N4CCOC[C@@H]4C)nc(N4CCOC[C@@H]4C)nc3n2)c1,AZD2014,PANC-03-27,-0.450418
17098,192626,CNC(=O)c1ccccc1Sc1ccc2c(C=Cc3ccccn3)n[nH]c2c1,Axitinib,LAN-6,2.487663
4455,302294,CNC(C)C(=O)NC(C(=O)N1CCCC1C(=O)NC1c2ccccc2CC1OCC#CC#CCOC1Cc2ccccc2C1NC(=O)C1CCCN1C(=O)C(NC(=O)C(C)NC)C1CCCCC1)C1CCCCC1,AZD5582,RCC-JW,-2.053699
40773,238371,CNCc1ccc(-c2[nH]c3cc(F)cc4c3c2CCNC4=O)cc1,Rucaparib,BB30-HNC,2.646832
34572,382063,CNCc1ccc(-c2cc(-c3nc(-c4ccc(S(=O)(=O)C(C)C)cc4)cnc3N)on2)cc1,VE-822,RCC-AB,5.43784
21884,365147,CN[C@@H](C)C(=O)N[C@H](C(=O)N1CCC[C@H]1c1nc(C(=O)c2ccc(F)cc2)cs1)C1CCCCC1,LCL161,RPMI-8226,4.50261
29709,333865,CN[C@@H]1C[C@@]2(C)O[C@@H]([C@@H]1OC)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4,Staurosporine,ES7,-2.928734
25599,32951,COC(=O)C(CCSC)NC(=O)c1ccc(NCC(N)CS)cc1-c1ccccc1,FTI-277,COR-L88,3.458865
12665,32157,COC(=O)CNC(=O)C(=O)OC,DMOG,IPC-298,7.157081
956,433534,COC(=O)NC1(NC(=O)OC)NC(=O)c2cc(OC)c(OC)c(OC)c2N1,Gallibiscoquinazole,FADU,2.577962
31977,142890,COC(=O)c1ccc2c(C(=Nc3ccc(N(C)C(=O)CN4CCN(C)CC4)cc3)c3ccccc3)c(O)[nH]c2c1,BIBF-1120,NCI-H1770,1.740186
7665,463897,COC1(c2sc3c(N4CCOCC4)nc(-c4cnc(N)nc4)nc3c2C)COC1,GNE-317,CAPAN-1,2.529484
8753,578,COC1CC2CCC(C)C(O)(O2)C(=O)C(=O)N2CCCCC2C(=O)OC(C(C)CC2CCC(O)C(OC)C2)CC(=O)C(C)C=C(C)C(O)C(OC)C(=O)C(C)CC(C)C=CC=CC=C1C,Rapamycin,NCI-H524,-2.025165
14049,78790,COCC(=O)NCC=Cc1ccc2ncnc(Nc3ccc(Oc4ccc(C)nc4)c(C)c3)c2c1,CP724714,A549,5.246831
12023,473931,COCCn1c2c([n+](Cc3cnccn3)c1C)C(=O)c1ccccc1C2=O.[Br-],Sepantronium bromide,ROS-50,-6.032344
36471,348158,COC[C@@]1(CO)C(=O)[C@H]2CC[N@@]1CC2,PRIMA-1MET,RVH-421,5.968351
1609,166043,CON(C)C(=O)N1N=C(c2cc(F)ccc2F)SC1(CCCN)c1ccccc1,ARRY-520,EW-16,-4.606248
22963,24454,CO[C@@H]1[C@H](N(C)C(=O)c2ccccc2)C[C@H]2O[C@]1(C)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4,Midostaurin,SCC-9,-0.35741
11502,19031,CO[C@@]12[C@@H]3NC3CN1C1=C(C(=O)C(N)=C(C)C1=O)[C@@H]2COC(N)=O,Mitomycin-C,HEL,-1.962223
19853,187374,CO[C@H]1C[C@H]2CC[C@@H](C)[C@@](O)(O2)C(=O)C(=O)N2CCCC[C@H]2C(=O)O[C@H]([C@H](C)C[C@@H]2CC[C@H](OC(=O)C(C)(CO)CO)[C@H](OC)C2)CC(=O)[C@H](C)C=C(C)[C@@H](O)[C@@H](OC)C(=O)[C@H](C)C[C@H](C)C=CC=CC=C1C,Temsirolimus,NCI-H2085,-3.235009
15267,489711,COc1c(C)c2c(c(O)c1CC=C(C)CCC(=O)O)C(=O)OC2,Mycophenolic acid,NCI-H446,0.650716
37058,7891,COc1cc(-c2nn(C3CCC(N4CCN(C(C)=O)CC4)CC3)c3ncnc(N)c23)ccc1NC(=O)c1cc2ccccc2n1C,A-770041,NCI-H1838,4.218289
